LOF,MAE-GSU,MAE-NON-GSU,P-Value GSU-NGSU,# GSU:
-1.0,0.740264718093458,0.7134654214004376,0.1515643216544914,214
-1.05,0.7325828245232558,0.7204585031504273,0.6419299129553765,86
-1.1,0.7085027871463416,0.7228916396492063,0.6925394180493842,41
-1.15,0.72775006615625,0.7217251097574334,0.8828911230395369,32
-1.2,0.729815087904762,0.7217603544707692,0.8721718980958435,21
-1.3,0.7150911550714286,0.722159925541857,0.9077223672851763,14
-1.4,0.719673944,0.7220299962942943,0.9814542958796558,5
-1.5,0.832106796,0.7218481200835821,0.6255464339840342,1
-1.6,0.832106796,0.7218481200835821,0.6255464339840342,1
-1.7,0.832106796,0.7218481200835821,0.6255464339840342,1
